timestamp,elapsed_time,pwm,battery_voltage,motor_voltage,motor_current,velocity_x,velocity_y,velocity_z
1729815067.856754,0.001554489,0.004883493576457624,,0.0,0.0,0.0,0.0,0.0
1729815067.9565318,0.10174489,0.29830969053054107,,0.0,0.0,0.0,0.0,0.0
1729815068.057385,0.201781511,0.477227932190698,,0.0,0.0,0.0,0.0,0.0
1729815068.157212,0.301735878,0.47381480765901257,,0.0,0.0,0.0,0.0,0.0
1729815068.2569687,0.401747941,0.2894324211430806,,0.0,0.0,0.0,0.0,0.0
1729815068.356862,0.501731157,-0.00543848287134793,,0.0,0.0,0.0,0.0,0.0
1729815068.457002,0.601780653,-0.29839984883748594,,0.0,0.0,0.0,0.0,0.0
1729815068.5569394,0.701740026,-0.4771890320508566,,0.0,0.0,0.0,0.0,0.0
1729815068.6565144,0.801772356,-0.4737781955619618,,0.0,0.0,0.0,0.0,0.0
1729815068.7567093,0.90171957,-0.28950509534326246,,0.0,0.0,0.0,0.0,0.0
1729815068.8570886,1.001830816,0.00575155124593415,,0.0,0.0,0.0,0.0,0.0
1729815068.9567857,1.101772546,0.2983794124599199,,0.0,0.0,0.0,0.0,0.0
1729815069.0571606,1.201766014,0.4772134045762203,,0.0,0.0,0.0,0.0,0.0
1729815069.1579723,1.301739454,0.47381121961364003,,0.0,0.0,0.0,0.0,0.0
1729815069.256673,1.401736021,0.28946295613496664,,0.0,0.0,0.0,0.0,0.0
1729815069.3568118,1.501724481,-0.005417510834707758,,0.0,0.0,0.0,0.0,0.0
1729815069.456692,1.60173583,-0.29828684793383864,,0.0,0.0,0.0,0.0,0.0
1729815069.5566895,1.701737403,-0.4771865713957483,,0.0,0.0,0.0,0.0,0.0
1729815069.657293,1.8017311089999999,-0.4738195923506639,,0.0,0.0,0.0,0.0,0.0
1729815069.756768,1.901722431,-0.2894977671188444,,0.0,0.0,0.0,0.0,0.0
1729815069.8572347,2.001764535,0.005543336627474871,,0.0,0.0,0.0,0.0,0.0
1729815069.9573336,2.101739406,0.2982958640676113,,0.0,0.0,0.0,0.0,0.0
1729815070.0568879,2.201753616,0.47720177885188314,,0.0,0.0,0.0,0.0,0.0
1729815070.1571097,2.301725387,0.4738253326165675,,0.0,0.0,0.0,0.0,0.0
1729815070.2575364,2.401759624,0.2894024916892798,,0.0,0.0,0.0,0.0,0.0
1729815070.357519,2.501749515,-0.005496152781254254,,0.0,0.0,0.0,0.0,0.0
1729815070.456596,2.601724386,-0.2982579932766838,,0.0,0.0,0.0,0.0,0.0
1729815070.5570486,2.701791763,-0.4772375404095314,,0.0,0.0,0.0,0.0,0.0
1729815070.6569805,2.801768064,-0.47378250463176025,,0.0,0.0,0.0,0.0,0.0
1729815070.7570782,2.9017481800000002,-0.28943180888964287,,0.0,0.0,0.0,0.0,0.0
1729815070.8570757,3.001812934,0.005695376966812312,,0.0,0.0,0.0,0.0,0.0
1729815070.957334,3.10176444,0.298358977829136,,0.0,0.0,0.0,0.0,0.0
1729815071.0568142,3.201735973,0.47718522984790185,,0.0,0.0,0.0,0.0,0.0
1729815071.157499,3.3018682,0.47368188062941513,,0.0,0.0,0.0,0.0,0.0
1729815071.2565165,3.401737451,0.2894592930463117,,0.0,0.0,0.0,0.0,0.0
1729815071.3566163,3.501727104,-0.00542575074778592,,0.0,0.0,0.0,0.0,0.0
1729815071.4568594,3.60172367,-0.2982561879183181,,0.0,0.0,0.0,0.0,0.0
1729815071.5569637,3.701741218,-0.47719015023176964,,0.0,0.0,0.0,0.0,0.0
1729815071.657016,3.801739931,-0.4738107409888357,,0.0,0.0,0.0,0.0,0.0
1729815071.756568,3.901732921,-0.2894708970161489,,0.0,0.0,0.0,0.0,0.0
1729815071.8571742,4.001739978,0.0054661932124474314,,0.0,0.0,0.0,0.0,0.0
1729815071.9571848,4.10174179,0.29830187473979786,,0.0,0.0,0.0,0.0,0.0
1729815072.0565934,4.201737642,0.47718679560872906,,0.0,0.0,0.0,0.0,0.0
1729815072.1571882,4.301730394,0.4738203096665871,,0.0,0.0,0.0,0.0,0.0
