
x y

Blue Cone Positions
 1.02919333e-01 -1.82820333e+00
 3.58890000e-01 -1.85510000e+00
 6.16390000e-01 -2.12887667e+00
 7.64440000e-01 -2.43181000e+00
 8.56953333e-01 -2.54262333e+00
 9.90403333e-01 -2.59121667e+00
 1.12305667e+00 -2.51131333e+00
 1.20748333e+00 -2.32297667e+00
 1.20564667e+00 -2.02644333e+00
 1.18442000e+00 -1.67071000e+00
 1.10613000e+00 -1.31533667e+00
 1.01864000e+00 -1.00944333e+00
 9.02433333e-01 -6.74080000e-01
 8.05430000e-01 -3.68246667e-01
 8.41573333e-01 -6.15890000e-02
 9.25510000e-01  2.05827667e-01
 1.09442667e+00  5.72616667e-01
 1.28310000e+00  8.20913333e-01
 1.50981000e+00  1.06944000e+00
 1.71738000e+00  1.33762000e+00
 1.90598000e+00  1.58635333e+00
 2.07288333e+00  1.84032333e+00
 2.21616667e+00  2.04266667e+00
 2.38658000e+00  2.28194333e+00
 2.29185667e+00  2.47008333e+00
 2.15837333e+00  2.60942333e+00
 2.00000000e+00  2.66666667e+00
 1.66666667e+00  2.66666667e+00
 1.33333333e+00  2.66666667e+00
 1.00000000e+00  2.66666667e+00
 6.66666667e-01  2.66666667e+00

Orange Cone Positions
3.66666667e-01 3.13333333e+00
3.66666667e-01 2.53333333e+00
4.66666667e-01 3.13333333e+00
4.66666667e-01 2.53333333e+00
